v-sweep;V(/out1);user1;
0.232;1.79997;-0.000726999;
0.233;1.79997;-0.00074641;
0.234;1.79997;-0.000766331;
0.235;1.79997;-0.000786774;
0.236;1.79997;-0.000807754;
0.237;1.79997;-0.000829284;
0.238;1.79997;-0.000851376;
0.239;1.79997;-0.000874049;
0.24;1.79997;-0.000897313;
0.241;1.79997;-0.000921185;
0.242;1.79996;-0.000945682;
0.243;1.79996;-0.000970817;
0.244;1.79996;-0.000996608;
0.245;1.79996;-0.00102307;
0.246;1.79996;-0.00105022;
0.247;1.79996;-0.00107808;
0.248;1.79996;-0.00110667;
0.249;1.79996;-0.00113599;
0.25;1.79996;-0.00116608;
0.251;1.79995;-0.00119695;
0.252;1.79995;-0.00122862;
0.253;1.79995;-0.00126111;
0.254;1.79995;-0.00129444;
0.255;1.79995;-0.00132864;
0.256;1.79995;-0.00136372;
0.257;1.79995;-0.0013997;
0.258;1.79995;-0.00143661;
0.259;1.79994;-0.00147448;
0.26;1.79994;-0.00151332;
0.261;1.79994;-0.00155316;
0.262;1.79994;-0.00159402;
0.263;1.79994;-0.00163594;
0.264;1.79994;-0.00167893;
0.265;1.79993;-0.00172302;
0.266;1.79993;-0.00176825;
0.267;1.79993;-0.00181463;
0.268;1.79993;-0.0018622;
0.269;1.79993;-0.00191098;
0.27;1.79993;-0.00196102;
0.271;1.79992;-0.00201233;
0.272;1.79992;-0.00206494;
0.273;1.79992;-0.0021189;
0.274;1.79992;-0.00217423;
0.275;1.79991;-0.00223097;
0.276;1.79991;-0.00228915;
0.277;1.79991;-0.0023488;
0.278;1.79991;-0.00240997;
0.279;1.79991;-0.00247269;
0.28;1.7999;-0.00253699;
0.281;1.7999;-0.00260292;
0.282;1.7999;-0.00267052;
0.283;1.7999;-0.00273982;
0.284;1.79989;-0.00281086;
0.285;1.79989;-0.0028837;
0.286;1.79989;-0.00295836;
0.287;1.79988;-0.00303491;
0.288;1.79988;-0.00311337;
0.289;1.79988;-0.0031938;
0.29;1.79987;-0.00327624;
0.291;1.79987;-0.00336075;
0.292;1.79987;-0.00344737;
0.293;1.79986;-0.00353615;
0.294;1.79986;-0.00362715;
0.295;1.79986;-0.00372041;
0.296;1.79985;-0.00381599;
0.297;1.79985;-0.00391395;
0.298;1.79985;-0.00401434;
0.299;1.79984;-0.00411722;
0.3;1.79984;-0.00422265;
