time;V(/in);V(/out);
6,0728e-11;0;1,8;
6,0828e-11;0;1,8;
6,0928e-11;0;1,8;
6,1028e-11;0;1,8;
6,1128e-11;0;1,8;
6,1228e-11;0;1,8;
6,1328e-11;0;1,8;
6,1428e-11;0;1,8;
6,1528e-11;0;1,8;
6,1628e-11;0;1,8;
6,1728e-11;0;1,8;
6,1828e-11;0;1,8;
6,1928e-11;0;1,8;
6,2028e-11;0;1,8;
6,2128e-11;0;1,8;
6,2228e-11;0;1,8;
6,2328e-11;0;1,8;
6,2428e-11;0;1,8;
6,2528e-11;0;1,8;
6,2628e-11;0;1,8;
6,2728e-11;0;1,8;
6,2828e-11;0;1,8;
6,2928e-11;0;1,8;
6,3028e-11;0;1,8;
6,3128e-11;0;1,8;
6,3228e-11;0;1,8;
6,3328e-11;0;1,8;
6,3428e-11;0;1,8;
6,3528e-11;0;1,8;
6,3628e-11;0;1,8;
6,3728e-11;0;1,8;
6,3828e-11;0;1,8;
6,3928e-11;0;1,8;
6,4028e-11;0;1,8;
6,4128e-11;0;1,8;
6,4228e-11;0;1,8;
6,4328e-11;0;1,8;
6,4428e-11;0;1,8;
6,4528e-11;0;1,8;
6,4628e-11;0;1,8;
6,4728e-11;0;1,8;
6,4828e-11;0;1,8;
6,4928e-11;0;1,8;
6,5028e-11;0;1,8;
6,5128e-11;0;1,8;
6,5228e-11;0;1,8;
6,5328e-11;0;1,8;
6,5428e-11;0;1,8;
6,5528e-11;0;1,8;
6,5628e-11;0;1,8;
6,5728e-11;0;1,8;
6,5828e-11;0;1,8;
6,5928e-11;0;1,8;
6,6028e-11;0;1,8;
6,6128e-11;0;1,8;
6,6228e-11;0;1,8;
6,6328e-11;0;1,8;
6,6428e-11;0;1,8;
6,6528e-11;0;1,8;
6,6628e-11;0;1,8;
6,6728e-11;0;1,8;
6,6828e-11;0;1,8;
6,6928e-11;0;1,8;
6,7028e-11;0;1,8;
6,7128e-11;0;1,8;
6,7228e-11;0;1,8;
6,7328e-11;0;1,8;
6,7428e-11;0;1,8;
6,7528e-11;0;1,8;
6,7628e-11;0;1,8;
6,7728e-11;0;1,8;
6,7828e-11;0;1,8;
6,7928e-11;0;1,8;
6,8028e-11;0;1,8;
6,8128e-11;0;1,8;
6,8228e-11;0;1,8;
6,8328e-11;0;1,8;
6,8428e-11;0;1,8;
6,8528e-11;0;1,8;
6,8628e-11;0;1,8;
6,8728e-11;0;1,8;
6,8828e-11;0;1,8;
6,8928e-11;0;1,8;
6,9028e-11;0;1,8;
6,9128e-11;0;1,8;
6,9228e-11;0;1,8;
6,9328e-11;0;1,8;
6,9428e-11;0;1,8;
6,9528e-11;0;1,8;
6,9628e-11;0;1,8;
6,9728e-11;0;1,8;
6,9828e-11;0;1,8;
6,9928e-11;0;1,8;
7,0028e-11;0;1,8;
7,0128e-11;0;1,8;
7,0228e-11;0;1,8;
7,0328e-11;0;1,8;
7,0428e-11;0;1,8;
7,0528e-11;0;1,8;
7,0628e-11;0;1,8;
7,0728e-11;0;1,8;
7,0828e-11;0;1,8;
7,0928e-11;0;1,8;
7,1028e-11;0;1,8;
7,1128e-11;0;1,8;
7,1228e-11;0;1,8;
7,1328e-11;0;1,8;
7,1428e-11;0;1,8;
7,1528e-11;0;1,8;
7,1628e-11;0;1,8;
7,1728e-11;0;1,8;
7,1828e-11;0;1,8;
7,1928e-11;0;1,8;
7,2028e-11;0;1,8;
7,2128e-11;0;1,8;
7,2228e-11;0;1,8;
7,2328e-11;0;1,8;
7,2428e-11;0;1,8;
7,2528e-11;0;1,8;
7,2628e-11;0;1,8;
7,2728e-11;0;1,8;
7,2828e-11;0;1,8;
7,2928e-11;0;1,8;
7,3028e-11;0;1,8;
7,3128e-11;0;1,8;
7,3228e-11;0;1,8;
7,3328e-11;0;1,8;
7,3428e-11;0;1,8;
7,3528e-11;0;1,8;
7,3628e-11;0;1,8;
7,3728e-11;0;1,8;
7,3828e-11;0;1,8;
7,3928e-11;0;1,8;
7,4028e-11;0;1,8;
7,4128e-11;0;1,8;
7,4228e-11;0;1,8;
7,4328e-11;0;1,8;
7,4428e-11;0;1,8;
7,4528e-11;0;1,8;
7,4628e-11;0;1,8;
7,4728e-11;0;1,8;
7,4828e-11;0;1,8;
